标题,up主,转换时间,视频简介,bvid
"【Fantasy动漫社】独语独乐 乐队——《日常与地球的画框》《Unknown Mother-Goose》【2026""迷星幻梦""幻想新年会】",FANTASY动漫社,2026-06-01 20:34:53,"参演人员：
Vocal: @CyNicaL_otaku  
https://space.bilibili.com/38216785 
Drum: @喵姆亲的勾  
https://space.bilibili.com/613682283
Key: @J05shua  
https://space.bilibili.com/1085913249
Bass: @你康个锤纸  
https://space.bilibili.com/399218465
Guitar: @玛艾露贝莉・赫恩
https://space.bilibili.com/356571363
作品参考链接：https://www.bilibili.com/list/ml3720984990?spm_id_from=333.1387.0.0&oid=934281513&bvid=BV1rM4y1A74p&desc=0",BV14XVo63EWm
"【Fantasy动漫社】双人吉他弹唱——《死别》（by Shannon feat. GUMI）【2026""迷星幻梦""幻想新年会】",FANTASY动漫社,2026-05-30 23:37:03,"参演人员：摩根勒菲(吉他)、韵华(演唱)
作品参考链接：【MV「死別」 / Shannon feat. GUMI】 https://www.bilibili.com/video/BV1oC411572T/?share_source=copy_web&vd_source=d868e6b762f979da3a58707ab8d1cd71",BV1KFVj6xEEu
【声优部】世界计划_ハローセカイ✦ 群唱,南风动漫社,2026-03-21 10:00:00,"原曲：DECO*27 - ハローセカイ feat. 初音ミク
（『劇場版プロジェクトセカイ　壊れたセカイと歌えないミク』挿入歌）
原曲链接：https://www.bilibili.com/video/BV15kFVeQEZ6
————————分割线————————
演唱（不分先后顺序）：
晓刻、初风、Mushroom、悠悠、ID、龙橘、何弦

录制、混音、视频：肆柏喵喵喵喵
录制协力：鱿鱼做的章鱼烧",BV1XDAWzjEQn
CJLUP2.0——歌曲《权御天下》,婳羽动漫社,2026-05-25 22:57:01,简介被美东吃掉了！,BV1VuGo62E8s
【中文填词翻唱】*Luna - 夏が僕らを呼ぶのなら（若是盛夏呼唤我们）【逄日帆×点点】,Starlight点点,2026-03-13 17:00:00,"「哪怕约定多到无法实现 这盛夏诗篇 我也会永远铭记它」

《若是盛夏呼唤我们》中文填词翻唱

原曲：*Luna - 夏が僕らを呼ぶのなら@Luna_official  
2024ver.→ BV1J4sCerEy4
2025ver.→ BV1UVnMzMEQL

中文填词：@Starlight点点  
演唱：@逄日帆_hiho  
混音：@尋Hiro  
录音：优音教室

策划：TRY动漫社@TRY动漫社_公式  
协力：AfternoonTea宅舞团@AfternoonTea宅舞团  
视频后期：点点@Starlight点点  

视频画面均来自TRY动漫社社团成员投稿！！！
（除开头一小段来自BV1MA4azREbE）
特别感谢所有寄送来回忆的社团成员们！！！
预祝2026届社员们毕业快乐！！！~~

中文填词纯属译者二创为爱发电，可以随意取用（须标明出处），但是请勿商用！！！！！
请大家多多支持*Luna本家！！！谢谢大家！！！！~~~~",BV182cUzuEyu
漫临天下动漫社联合X118 五重空洞,漫临天下动漫社,2026-04-21 10:00:00,演唱者：瓶子,BV1wsdkBaE2q
漫临天下动漫社联合X118  奏明天空,漫临天下动漫社,2026-04-21 10:00:00,演唱者：初久,BV1jEdCBxEvj
【国科大2026夏日宴】千年食谱颂&冠世一战,某科学的国科子,2026-06-27 12:00:00,"感谢歌:徵羽摩柯:@卂枭拾伞戛剑以当隼銃 

千年食谱颂 原staff表：
词曲、编曲、调教、演奏等 - H.K.君 
演唱：世界第一的吃货殿下 
视频/企划:平安夜的噩梦 
画师：鲁硬、小友、豹虎、上野神、反犬TDog、oxlee、佐又、八才 协力：破晓天、轨迹、DMYoung、Yekk 

冠世一战 原staff表：
作编曲 litterzy
作词	墨大筝
调校	Creuzer
混音	CuTTleFiSh
笛子	水玥儿
古筝	墨韵随步摇
曲绘	骸鸦、食莲丼
周告斑、微生
鹤庵波影
视频	Xirokyo
残垣留梦
脚本	Oneways
题字	暴走的刺猬
监制	纳兰寻风
演唱	言和",BV18W7j6kEtg
【国科大2026夏日宴】乐正绫×徵羽摩柯《繁华唱遍》,暮雨_fx,2026-06-23 16:05:42,"2026年国科大夏日宴节目
舞:乐正绫: 我
歌:徵羽摩柯:@卂枭拾伞戛剑以当隼銃 
我其实只学了一学期戏曲课，并不会唱念做打，只学了一点点的子午相/ᐠ .⸝⸝⸝. ྀིﾏ",BV1cCjy66E2S
合唱《あの夏が飽和する、》——小澪/凉花伊织【2025C4拜冬祭】,Cfour动漫社,2026-03-31 23:10:14,,BV1WFXCBoEC8
